,CountryName,Date,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,Year,Month,day,Quarter,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,"Deaths_by_100,000","Cases_by_100,000"
10852,Denmark,2020-06-29,12675.0,604.0,62.96,62.96,2020.0,June,29.0,4.0,-29.0,4.0,10.37979034198316,217.82093143151747
10853,Denmark,2020-06-30,12751.0,605.0,62.96,62.96,2020.0,June,30.0,4.0,-29.0,4.0,10.396975425330814,219.12699776593917
10854,Denmark,2020-07-01,12768.0,605.0,62.96,62.96,2020.0,July,1.0,1.0,-29.0,3.0,10.396975425330814,219.4191441828493
10855,Denmark,2020-07-02,12794.0,606.0,62.96,62.96,2020.0,July,2.0,1.0,-31.0,3.0,10.414160508678467,219.8659563498883
10856,Denmark,2020-07-03,12815.0,606.0,62.96,62.96,2020.0,July,3.0,1.0,-32.0,3.0,10.414160508678467,220.22684310018906
10857,Denmark,2020-07-04,12832.0,606.0,62.96,62.96,2020.0,July,4.0,1.0,-5.0,-1.0,10.414160508678467,220.51898951709916
10858,Denmark,2020-07-05,12832.0,606.0,62.96,62.96,2020.0,July,5.0,1.0,-4.0,0.0,10.414160508678467,220.51898951709916
10859,Denmark,2020-07-06,12832.0,606.0,62.96,62.96,2020.0,July,6.0,1.0,-42.0,6.0,10.414160508678467,220.51898951709916
10860,Denmark,2020-07-07,12878.0,607.0,62.96,62.96,2020.0,July,7.0,1.0,-41.0,5.0,10.43134559202612,221.30950335109125
10861,Denmark,2020-07-08,12888.0,609.0,60.19,60.19,2020.0,July,8.0,1.0,-40.0,4.0,10.46571575872143,221.4813541845678
10862,Denmark,2020-07-09,12900.0,609.0,60.19,60.19,2020.0,July,9.0,2.0,-40.0,4.0,10.46571575872143,221.68757518473964
10863,Denmark,2020-07-10,12916.0,609.0,60.19,60.19,2020.0,July,10.0,2.0,-41.0,5.0,10.46571575872143,221.96253651830213
10864,Denmark,2020-07-11,12946.0,609.0,60.19,60.19,2020.0,July,11.0,2.0,-3.0,-3.0,10.46571575872143,222.47808901873174
10865,Denmark,2020-07-12,12946.0,609.0,60.19,60.19,2020.0,July,12.0,2.0,-5.0,-2.0,10.46571575872143,222.47808901873174
10866,Denmark,2020-07-13,12946.0,609.0,60.19,60.19,2020.0,July,13.0,2.0,-53.0,6.0,10.46571575872143,222.47808901873174
10867,Denmark,2020-07-14,13037.0,610.0,60.19,60.19,2020.0,July,14.0,2.0,-53.0,7.0,10.482900842069084,224.04193160336828
10868,Denmark,2020-07-15,13061.0,610.0,60.19,60.19,2020.0,July,15.0,2.0,-52.0,7.0,10.482900842069084,224.45437360371199
10869,Denmark,2020-07-16,13092.0,610.0,60.19,60.19,2020.0,July,16.0,2.0,-52.0,6.0,10.482900842069084,224.98711118748926
10870,Denmark,2020-07-17,13124.0,610.0,60.19,60.19,2020.0,July,17.0,3.0,-52.0,4.0,10.482900842069084,225.5370338546142
10871,Denmark,2020-07-18,13173.0,611.0,60.19,60.19,2020.0,July,18.0,3.0,-4.0,-5.0,10.50008592541674,226.37910293864925
10872,Denmark,2020-07-19,13173.0,611.0,60.19,60.19,2020.0,July,19.0,3.0,-6.0,-3.0,10.50008592541674,226.37910293864925
10873,Denmark,2020-07-20,13173.0,611.0,60.19,60.19,2020.0,July,20.0,3.0,-56.0,6.0,10.50008592541674,226.37910293864925
10874,Denmark,2020-07-21,13262.0,611.0,60.19,60.19,2020.0,July,21.0,3.0,-56.0,6.0,10.50008592541674,227.9085753565905
10875,Denmark,2020-07-22,13302.0,611.0,60.19,60.19,2020.0,July,22.0,3.0,-55.0,6.0,10.50008592541674,228.59597869049665
10876,Denmark,2020-07-23,13350.0,611.0,60.19,60.19,2020.0,July,23.0,3.0,-55.0,7.0,10.50008592541674,229.42086269118406
10877,Denmark,2020-07-24,13390.0,612.0,60.19,60.19,2020.0,July,24.0,3.0,-55.0,8.0,10.517271008764393,230.10826602509022
10878,Denmark,2020-07-25,13438.0,613.0,60.19,60.19,2020.0,July,25.0,4.0,-5.0,-3.0,10.534456092112046,230.93315002577762
10879,Denmark,2020-07-26,13438.0,613.0,60.19,60.19,2020.0,July,26.0,4.0,-9.0,0.0,10.534456092112046,230.93315002577762
10880,Denmark,2020-07-27,13438.0,613.0,60.19,60.19,2020.0,July,27.0,4.0,-50.0,7.0,10.534456092112046,230.93315002577762
10881,Denmark,2020-07-28,13547.0,613.0,60.19,60.19,2020.0,July,28.0,4.0,-49.0,7.0,10.534456092112046,232.80632411067194
10882,Denmark,2020-07-29,13577.0,613.0,60.19,60.19,2020.0,July,29.0,4.0,-50.0,8.0,10.534456092112046,233.32187661110157
10883,Denmark,2020-07-30,13634.0,614.0,60.19,60.19,2020.0,July,30.0,4.0,-49.0,7.0,10.551641175459702,234.30142636191786
10884,Denmark,2020-07-31,13725.0,615.0,60.19,60.19,2020.0,July,31.0,4.0,-48.0,3.0,10.568826258807356,235.8652689465544
10885,Denmark,2020-08-01,13789.0,615.0,56.48,56.48,2020.0,August,1.0,1.0,-2.0,-5.0,10.568826258807356,236.96511428080427
10886,Denmark,2020-08-02,13789.0,615.0,56.48,56.48,2020.0,August,2.0,1.0,-2.0,-2.0,10.568826258807356,236.96511428080427
