,Year_x,Month_x,Total consumption of electricity used (all providers) TWh,day_x,Date,CountryName,ConfirmedCases,ConfirmedDeaths,StringencyIndex,Year_y,Month_y,day_y
252,2020,February,25.98652998778088,15,2020-02-15,China,66559.0,1524.0,75.46,2020.0,February,15
253,2020,February,25.98652998778088,15,2020-02-15,Cote d'Ivoire,,,0.0,2020.0,February,15
254,2020,February,25.98652998778088,15,2020-02-15,Cameroon,,,0.0,2020.0,February,15
255,2020,February,25.98652998778088,15,2020-02-15,Democratic Republic of Congo,,,0.0,2020.0,February,15
256,2020,February,25.98652998778088,15,2020-02-15,Congo,,,0.0,2020.0,February,15
257,2020,February,25.98652998778088,15,2020-02-15,Colombia,,,8.33,2020.0,February,15
258,2020,February,25.98652998778088,15,2020-02-15,Cape Verde,,,11.11,2020.0,February,15
259,2020,February,25.98652998778088,15,2020-02-15,Costa Rica,,,11.11,2020.0,February,15
260,2020,February,25.98652998778088,15,2020-02-15,Cuba,,,11.11,2020.0,February,15
261,2020,February,25.98652998778088,15,2020-02-15,Cayman Islands,,,11.11,2020.0,February,15
262,2020,February,25.98652998778088,15,2020-02-15,Cyprus,,,0.0,2020.0,February,15
263,2020,February,25.98652998778088,15,2020-02-15,Czech Republic,0.0,0.0,16.67,2020.0,February,15
264,2020,February,25.98652998778088,15,2020-02-15,Germany,15.0,0.0,11.11,2020.0,February,15
265,2020,February,25.98652998778088,15,2020-02-15,Djibouti,,,0.0,2020.0,February,15
266,2020,February,25.98652998778088,15,2020-02-15,Dominica,,,0.0,2020.0,February,15
267,2020,February,25.98652998778088,15,2020-02-15,Denmark,0.0,0.0,0.0,2020.0,February,15
268,2020,February,25.98652998778088,15,2020-02-15,Dominican Republic,0.0,0.0,0.0,2020.0,February,15
269,2020,February,25.98652998778088,15,2020-02-15,Algeria,0.0,0.0,0.0,2020.0,February,15
270,2020,February,25.98652998778088,15,2020-02-15,Ecuador,0.0,0.0,5.56,2020.0,February,15
271,2020,February,25.98652998778088,15,2020-02-15,Egypt,1.0,0.0,0.0,2020.0,February,15
272,2020,February,25.98652998778088,15,2020-02-15,Eritrea,,,0.0,2020.0,February,15
273,2020,February,25.98652998778088,15,2020-02-15,Spain,2.0,0.0,11.11,2020.0,February,15
274,2020,February,25.98652998778088,15,2020-02-15,Estonia,0.0,0.0,0.0,2020.0,February,15
275,2020,February,25.98652998778088,15,2020-02-15,Ethiopia,,,2.78,2020.0,February,15
276,2020,February,25.98652998778088,15,2020-02-15,Finland,1.0,0.0,13.89,2020.0,February,15
277,2020,February,25.98652998778088,15,2020-02-15,Fiji,,,19.44,2020.0,February,15
278,2020,February,25.98652998778088,15,2020-02-15,France,11.0,1.0,13.89,2020.0,February,15
279,2020,February,25.98652998778088,15,2020-02-15,Gabon,,,13.89,2020.0,February,15
280,2020,February,25.98652998778088,15,2020-02-15,United Kingdom,10.0,0.0,11.11,2020.0,February,15
281,2020,February,25.98652998778088,15,2020-02-15,Georgia,0.0,0.0,19.44,2020.0,February,15
282,2020,February,25.98652998778088,15,2020-02-15,Ghana,,,2.78,2020.0,February,15
