,CountryName,Date,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,Year,Month,day,Quarter,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2086,Austria,2020-08-18,23717.0,729.0,,31.48,2020.0,August,18.0,3.0,-34.0,4.0
2087,Austria,2020-08-19,23875.0,729.0,,31.48,2020.0,August,19.0,3.0,-34.0,2.0
2552,Belgium,2020-01-01,0.0,0.0,0.0,0.0,2020.0,January,1.0,1.0,,
2553,Belgium,2020-01-02,0.0,0.0,0.0,0.0,2020.0,January,2.0,1.0,,
2554,Belgium,2020-01-03,0.0,0.0,0.0,0.0,2020.0,January,3.0,1.0,,
2555,Belgium,2020-01-04,0.0,0.0,0.0,0.0,2020.0,January,4.0,1.0,,
2556,Belgium,2020-01-05,0.0,0.0,0.0,0.0,2020.0,January,5.0,1.0,,
2557,Belgium,2020-01-06,0.0,0.0,0.0,0.0,2020.0,January,6.0,1.0,,
2558,Belgium,2020-01-07,0.0,0.0,0.0,0.0,2020.0,January,7.0,1.0,,
2559,Belgium,2020-01-08,0.0,0.0,0.0,0.0,2020.0,January,8.0,1.0,,
2560,Belgium,2020-01-09,0.0,0.0,0.0,0.0,2020.0,January,9.0,2.0,,
2561,Belgium,2020-01-10,0.0,0.0,0.0,0.0,2020.0,January,10.0,2.0,,
2562,Belgium,2020-01-11,0.0,0.0,0.0,0.0,2020.0,January,11.0,2.0,,
2563,Belgium,2020-01-12,0.0,0.0,0.0,0.0,2020.0,January,12.0,2.0,,
2564,Belgium,2020-01-13,0.0,0.0,0.0,0.0,2020.0,January,13.0,2.0,,
2565,Belgium,2020-01-14,0.0,0.0,0.0,0.0,2020.0,January,14.0,2.0,,
2566,Belgium,2020-01-15,0.0,0.0,0.0,0.0,2020.0,January,15.0,2.0,,
2567,Belgium,2020-01-16,0.0,0.0,0.0,0.0,2020.0,January,16.0,2.0,,
2568,Belgium,2020-01-17,0.0,0.0,0.0,0.0,2020.0,January,17.0,3.0,,
2569,Belgium,2020-01-18,0.0,0.0,0.0,0.0,2020.0,January,18.0,3.0,,
2570,Belgium,2020-01-19,0.0,0.0,0.0,0.0,2020.0,January,19.0,3.0,,
2571,Belgium,2020-01-20,0.0,0.0,0.0,0.0,2020.0,January,20.0,3.0,,
2572,Belgium,2020-01-21,0.0,0.0,0.0,0.0,2020.0,January,21.0,3.0,,
